Designator,Mid X,Mid Y,Rotation,Layer
BZ1,133.6,-56.9,0.0,top
DAH,191.7,-55.4,0.0,bottom
DIT,191.7,-55.4,0.0,top
RV1,152.6,-75.5635,0.0,top
RV2,169.4,-75.3635,0.0,top
U1,166.7,-53.48,0.0,top
U3,151.8,-51.7,90.0,top
